time,smoothing_multiplier_left,smoothing_multiplier_right,tracking_error_x
3.9709837436676025,[0.00290358 0.9970964  0.        ],[0.99990976 0.         0.        ],0.39830732
4.018827199935913,[5.7280064e-05 9.9994272e-01 0.0000000e+00],[0.9999994 0.        0.       ],0.6989794
4.065222263336182,[3.5762787e-07 9.9999964e-01 0.0000000e+00],[1. 0. 0.],0.8408127
4.11460280418396,[0. 1. 0.],[1. 0. 0.],0.9810877
4.17223334312439,[0.0000000e+00 9.9999940e-01 5.9604645e-07],[1. 0. 0.],1.1557013
4.217334985733032,[0.0000000e+00 9.9991459e-01 8.5413456e-05],[1. 0. 0.],1.268649
4.26799750328064,[0.         0.99610305 0.00389692],[1. 0. 0.],1.5677978
4.3139965534210205,[0.         0.9409864  0.05901361],[1. 0. 0.],1.9247564
4.361361026763916,[0.       0.679159 0.320841],[1. 0. 0.],2.3156056
4.40099573135376,[0.         0.6030456  0.39695442],[1. 0. 0.],2.5074434
4.446362257003784,[0.         0.6964732  0.30352682],[1. 0. 0.],2.762459
4.488636016845703,[3.2186508e-06 9.9259686e-01 7.3999166e-03],[1. 0. 0.],2.8213544
4.533933877944946,[2.9802322e-05 9.8643130e-01 1.3539344e-02],[1. 0. 0.],2.7366934
4.5799171924591064,[0.        0.6547556 0.3452444],[1. 0. 0.],2.7431257
4.620178937911987,[0.         0.08119035 0.91880965],[1. 0. 0.],2.6644692
4.668409109115601,[2.9802322e-08 3.8950443e-03 9.9610496e-01],[1. 0. 0.],2.4840498
4.737146377563477,[3.9041042e-06 8.5651875e-05 9.9991041e-01],[1. 0. 0.],2.3500972
4.783042907714844,[2.6714802e-04 2.9802322e-07 9.9973255e-01],[9.9999589e-01 4.1127205e-06 0.0000000e+00],2.1321456
4.832803249359131,[0.0072602 0.        0.9927398],[0.9944307  0.00556928 0.        ],1.962421
4.88092827796936,[0.07864362 0.         0.9213564 ],[0.73928034 0.26071963 0.        ],1.7845598
4.926678895950317,[0.3556817  0.         0.64431834],[0.06285572 0.9371443  0.        ],1.5468738
4.9714086055755615,[0.75533605 0.         0.        ],[0.00130653 0.99869347 0.        ],1.3973684
5.022155046463013,[0.96155655 0.         0.        ],[1.1086464e-05 9.9998891e-01 0.0000000e+00],1.3206476
5.071209669113159,[0.99787784 0.         0.        ],[0. 1. 0.],1.1534483
5.117257118225098,[0.9999616 0.        0.       ],[0. 1. 0.],1.1470537
5.159773826599121,[0.99999976 0.         0.        ],[0. 1. 0.],1.1749684
5.203731298446655,[1. 0. 0.],[0.0000000e+00 9.9999976e-01 2.0861626e-07],1.184122
5.247955083847046,[1. 0. 0.],[0.000000e+00 9.999646e-01 3.540516e-05],1.2935506
5.2882866859436035,[1. 0. 0.],[0.         0.99798286 0.00201711],1.5158933
5.338438510894775,[1. 0. 0.],[0.         0.9622705  0.03772953],1.7069143
5.387709379196167,[1. 0. 0.],[0.         0.75171083 0.24828917],2.0044658
5.4354634284973145,[1. 0. 0.],[0.         0.33948326 0.66051674],2.339815
5.4811437129974365,[1. 0. 0.],[0.         0.06853747 0.9314625 ],2.085236
5.534328937530518,[1. 0. 0.],[0.         0.04548407 0.95451593],1.7420051
5.593897819519043,[1. 0. 0.],[0.         0.23045623 0.76954377],1.829555
5.6425461769104,[1. 0. 0.],[0.         0.01868308 0.9813169 ],1.7444597
5.687577486038208,[1. 0. 0.],[0.0000000e+00 4.5979023e-04 9.9954021e-01],1.5288547
5.734821796417236,[1. 0. 0.],[0.0000000e+00 6.5565109e-07 9.9999934e-01],1.2890341
5.780847787857056,[1. 0. 0.],[0. 0. 1.],1.0421524
5.828365325927734,[1. 0. 0.],[8.940697e-08 0.000000e+00 9.999999e-01],0.80008817
5.874624967575073,[1. 0. 0.],[1.8000603e-05 0.0000000e+00 9.9998200e-01],0.5889945
5.925577640533447,[9.9999964e-01 3.2782555e-07 0.0000000e+00],[0.00116044 0.         0.99883956],0.3890698
5.967963457107544,[9.9948275e-01 5.1724911e-04 0.0000000e+00],[0.02544621 0.         0.9745538 ],0.14210415
6.011624097824097,[0.97542834 0.02457163 0.        ],[0.19593373 0.         0.8040663 ],0.23700428
6.050304174423218,[0.78528744 0.21471256 0.        ],[0.59519684 0.         0.        ],0.288126
6.09524393081665,[0.36813533 0.63186467 0.        ],[0.90962934 0.         0.        ],0.32692647
6.14959716796875,[0.07418644 0.92581356 0.        ],[0.9925779 0.        0.       ],0.25417972
6.191063404083252,[0.00543237 0.99456763 0.        ],[0.99979526 0.         0.        ],0.37657022
6.240696668624878,[1.3303757e-04 9.9986696e-01 0.0000000e+00],[0.9999982 0.        0.       ],0.5210719
6.284725904464722,[1.0728836e-06 9.9999893e-01 0.0000000e+00],[1. 0. 0.],0.78417206
6.322814226150513,[0. 1. 0.],[1. 0. 0.],0.746516
6.370287895202637,[0.0000000e+00 9.9999976e-01 2.0861626e-07],[1. 0. 0.],0.9668431
6.422862768173218,[0.0000000e+00 9.9996400e-01 3.5971403e-05],[1. 0. 0.],1.0785947
6.472942352294922,[0.         0.9979596  0.00204039],[1. 0. 0.],1.3860191
6.5202014446258545,[0.         0.96197546 0.03802457],[1. 0. 0.],1.6407961
6.567746877670288,[0.         0.7505828  0.24941719],[1. 0. 0.],2.0310535
6.606144905090332,[0.         0.33671886 0.66328114],[1. 0. 0.],2.4098396
6.644041538238525,[0.         0.5918059  0.40819412],[1. 0. 0.],2.5882068
6.689937591552734,[0.         0.9219734  0.07802659],[1. 0. 0.],2.7448115
6.740619897842407,[1.6295910e-04 9.9356157e-01 6.2764585e-03],[1. 0. 0.],2.6920328
6.790499687194824,[0.         0.85764176 0.14235824],[1. 0. 0.],2.644626
6.838840961456299,[0.         0.12469792 0.8753021 ],[1. 0. 0.],2.6584501
