0,-0.00171661,0.0673304,0.420577,-0.0967045,-0.145963,0.0108428,-0.0669489,0.0375757,0.815404,0.0772486,-0.0728951,-0.13647,-0.511368
0.02,-0.00181228,0.0643178,0.402166,-0.0990524,-0.145044,0.0106259,-0.0654799,0.0384902,0.809096,0.0799856,-0.0734372,-0.133741,-0.50114
0.04,-0.00190795,0.0613051,0.383754,-0.1014,-0.144124,0.0104091,-0.0640109,0.0394047,0.802788,0.0827226,-0.0739793,-0.131011,-0.490913
0.06,-0.00200362,0.0582925,0.365342,-0.103748,-0.143205,0.0101922,-0.062542,0.0403192,0.79648,0.0854597,-0.0745214,-0.128282,-0.480686
0.08,-0.00209928,0.0552799,0.346931,-0.106096,-0.142286,0.00997538,-0.061073,0.0412337,0.790172,0.0881967,-0.0750635,-0.125553,-0.470458
0.1,-0.00219495,0.0522673,0.328519,-0.108444,-0.141367,0.00975852,-0.059604,0.0421481,0.783864,0.0909337,-0.0756056,-0.122823,-0.460231
0.12,-0.00229062,0.0492547,0.310108,-0.110792,-0.140447,0.00954166,-0.058135,0.0430626,0.777555,0.0936707,-0.0761477,-0.120094,-0.450004
0.14,-0.00238629,0.0462421,0.291696,-0.11314,-0.139528,0.00932481,-0.056666,0.0439771,0.771247,0.0964078,-0.0766897,-0.117364,-0.439776
0.16,-0.00248196,0.0432295,0.273285,-0.115488,-0.138609,0.00910795,-0.0551971,0.0448916,0.764939,0.0991448,-0.0772318,-0.114635,-0.429549
0.18,-0.00257762,0.0402169,0.254873,-0.117836,-0.13769,0.0088911,-0.0537281,0.0458061,0.758631,0.101882,-0.0777739,-0.111905,-0.419322
0.2,-0.00267329,0.0372043,0.236462,-0.120184,-0.13677,0.00867424,-0.0522591,0.0467206,0.752323,0.104619,-0.078316,-0.109176,-0.409094
0.22,-0.00276896,0.0341917,0.21805,-0.122531,-0.135851,0.00845738,-0.0507901,0.0476351,0.746015,0.107356,-0.0788581,-0.106447,-0.398867
0.24,-0.00286463,0.0311791,0.199639,-0.124879,-0.134932,0.00824053,-0.0493212,0.0485495,0.739707,0.110093,-0.0794002,-0.103717,-0.38864
0.26,-0.00296029,0.0281665,0.181227,-0.127227,-0.134013,0.00802367,-0.0478522,0.049464,0.733399,0.11283,-0.0799423,-0.100988,-0.378412
0.28,-0.00305596,0.0251539,0.162815,-0.129575,-0.133093,0.00780682,-0.0463832,0.0503785,0.727091,0.115567,-0.0804844,-0.0982585,-0.368185
0.3,-0.00315163,0.0221413,0.144404,-0.131923,-0.132174,0.00758996,-0.0449142,0.051293,0.720783,0.118304,-0.0810265,-0.0955291,-0.357957
