0,-0.00171661,0.0673304,0.420577,-0.0967045,-0.145963,0.0108428,-0.0669489,0.0375757,0.815404,0.0772486,-0.0728951,-0.13647,-0.511368
0.02,-0.00171661,0.0673304,0.420577,-0.0967045,-0.145963,0.0108428,-0.0669489,0.0375757,0.815404,0.0772486,-0.0728951,-0.13647,-0.511368
0.04,-0.00171661,0.0673304,0.415618,-0.096323,-0.145963,0.0108428,-0.0638971,0.0375757,0.813878,0.0772486,-0.0729204,-0.135847,-0.510605
0.06,-0.00171661,0.066186,0.40341,-0.0967045,-0.145597,0.0108444,-0.0646601,0.0375757,0.8093,0.0772486,-0.0740876,-0.134596,-0.504501
0.08,-0.00171661,0.0635157,0.384718,-0.0974674,-0.144682,0.0105388,-0.0642786,0.0375757,0.802815,0.0795374,-0.0743361,-0.133036,-0.494965
0.1,-0.00171661,0.0600824,0.3645,-0.0993748,-0.144133,0.0102316,-0.0642786,0.0379572,0.795186,0.0825891,-0.0747822,-0.131165,-0.485046
0.12,-0.00171661,0.0574121,0.345045,-0.101664,-0.143582,0.0105437,-0.0619898,0.0387201,0.790227,0.0856409,-0.0750773,-0.128361,-0.474747
0.14,-0.000572205,0.0566492,0.327115,-0.102808,-0.143033,0.0102364,-0.059701,0.0398645,0.783742,0.0883112,-0.0759167,-0.125866,-0.464828
0.16,-0.000572205,0.0558863,0.308805,-0.103189,-0.142118,0.00993069,-0.0581751,0.0406275,0.776875,0.0902185,-0.076625,-0.121816,-0.453765
0.18,-0.000572205,0.0535975,0.290875,-0.104715,-0.141202,0.00962494,-0.0570307,0.0406275,0.772297,0.091363,-0.0762119,-0.117772,-0.442702
0.2,-0.000572205,0.0505457,0.272564,-0.10853,-0.139919,0.00932072,-0.0558863,0.0406275,0.766575,0.0936518,-0.076299,-0.115283,-0.431258
0.22,-0.000572205,0.0478754,0.255016,-0.111963,-0.139,0.00963433,-0.0555048,0.0410089,0.76009,0.0967045,-0.076911,-0.113726,-0.422484
0.24,-0.000572205,0.0444422,0.235561,-0.113871,-0.137718,0.00871055,-0.0551233,0.0417719,0.753605,0.100519,-0.0775641,-0.110925,-0.412566
0.26,-0.000572205,0.0410089,0.21725,-0.115015,-0.13607,0.00716871,-0.053216,0.0425348,0.746738,0.104715,-0.0783909,-0.108435,-0.402647
0.28,-0.000953674,0.0375757,0.198939,-0.115778,-0.135335,0.00717171,-0.0516901,0.0429163,0.739109,0.107767,-0.0795881,-0.105945,-0.392347
0.3,-0.000953674,0.0341425,0.18101,-0.116159,-0.134966,0.00779269,-0.0501642,0.0436792,0.73415,0.110437,-0.080607,-0.103145,-0.381666
0.32,-0.000953674,0.0310898,0.1627,-0.117304,-0.134414,0.00810467,-0.0486383,0.0444422,0.727283,0.113108,-0.0808602,-0.100969,-0.370985
0.34,-0.000953674,0.028038,0.144388,-0.120356,-0.133679,0.00810764,-0.0471125,0.0448236,0.720036,0.115396,-0.0812888,-0.0991043,-0.361067
0.36,-0.00171661,0.0249863,0.126078,-0.125315,-0.133127,0.0084196,-0.0471125,0.0459681,0.71355,0.117685,-0.0812033,-0.0956883,-0.35153
0.38,-0.00209808,0.0219345,0.107767,-0.129129,-0.132206,0.00873302,-0.0471125,0.0471125,0.707446,0.11883,-0.0809711,-0.0907213,-0.340848
0.4,-0.00209808,0.0192642,0.0890741,-0.131037,-0.131473,0.00811644,-0.0452051,0.0474939,0.701343,0.121119,-0.0812657,-0.0866855,-0.329785
0.42,-0.00209808,0.015831,0.0703821,-0.132563,-0.130554,0.0078103,-0.0425348,0.0482569,0.694858,0.123789,-0.0826257,-0.0845085,-0.319486
0.44,-0.00209808,0.0120163,0.0516901,-0.134851,-0.129451,0.00719508,-0.0398645,0.0490198,0.688373,0.126459,-0.0832236,-0.0829553,-0.308805
0.46,-0.00209808,0.00858307,0.033761,-0.13714,-0.128348,0.0065798,-0.0375757,0.0501642,0.683032,0.129129,-0.0836422,-0.0810925,-0.299649
0.48,-0.00209808,0.00591278,0.0150681,-0.139429,-0.126877,0.00596585,-0.0375757,0.0513086,0.676166,0.132181,-0.084432,-0.0792289,-0.290112
0.5,-0.00209808,0.00362396,-0.00324249,-0.141336,-0.125774,0.00473085,-0.0368128,0.0528345,0.668536,0.135233,-0.0854286,-0.0764344,-0.280193
0.52,-0.00209808,0.00171661,-0.021553,-0.142481,-0.124669,0.00473495,-0.0349054,0.0543604,0.663577,0.138666,-0.0866156,-0.0733297,-0.269894
0.54,-0.00209808,-0.000953674,-0.040246,-0.144388,-0.124115,0.00504678,-0.0322351,0.0558863,0.657855,0.140574,-0.0874008,-0.0714669,-0.259594
0.56,-0.00209808,-0.00362396,-0.058938,-0.148203,-0.123377,0.00566907,-0.0299454,0.0562677,0.650606,0.141718,-0.0874541,-0.0689863,-0.249294
0.58,-0.00209808,-0.00629425,-0.0772486,-0.152018,-0.122639,0.00567176,-0.0284195,0.0574121,0.645647,0.143244,-0.0869786,-0.0649576,-0.238995
0.6,-0.00209808,-0.00896454,-0.0955601,-0.154688,-0.121901,0.00629402,-0.028038,0.0581751,0.638781,0.145533,-0.087062,-0.060618,-0.228695
0.62,-0.00209808,-0.0112534,-0.113871,-0.156978,-0.120979,0.00598755,-0.0268936,0.0593195,0.631151,0.148203,-0.0880538,-0.0572061,-0.218777
0.64,-0.00209808,-0.0135422,-0.132181,-0.158885,-0.120426,0.00567972,-0.0253677,0.0612268,0.626574,0.151636,-0.0888299,-0.0553446,-0.208858
0.66,-0.00209808,-0.0165939,-0.150492,-0.161174,-0.119688,0.00568234,-0.0238419,0.0627527,0.62047,0.154688,-0.0894241,-0.0531738,-0.198939
0.68,-0.00209808,-0.0204086,-0.168803,-0.1627,-0.118398,0.00475746,-0.0219345,0.0635157,0.613222,0.156214,-0.0900069,-0.0516229,-0.188258
0.7,-0.00171661,-0.0238419,-0.187114,-0.165751,-0.116738,0.0032141,-0.0200272,0.0638971,0.607882,0.159266,-0.0904173,-0.049143,-0.17834
0.72,-0.00209808,-0.0265121,-0.205806,-0.167659,-0.115446,0.00228899,-0.0185013,0.0642786,0.601015,0.1627,-0.0919411,-0.0466601,-0.16804
0.74,-0.00209808,-0.0291824,-0.224117,-0.170329,-0.114706,0.00291116,-0.0169754,0.065423,0.594149,0.165751,-0.0929094,-0.0438691,-0.158122
0.76,-0.00209808,-0.0322351,-0.242428,-0.173381,-0.113967,0.00291363,-0.0162125,0.0669489,0.588044,0.167659,-0.0938672,-0.0416978,-0.147821
0.78,-0.00209808,-0.0356684,-0.26112,-0.176051,-0.113228,0.00291608,-0.0154495,0.0669489,0.581941,0.169566,-0.0938982,-0.0392195,-0.137522
0.8,-0.00209808,-0.0391016,-0.279812,-0.177577,-0.112488,0.00291852,-0.0150681,0.0669489,0.575456,0.171855,-0.0935697,-0.0355033,-0.127222
0.82,-0.00209808,-0.0417719,-0.298505,-0.179866,-0.111749,0.00292094,-0.0135422,0.0677118,0.569352,0.174907,-0.0932368,-0.0317872,-0.116541
0.84,-0.00209808,-0.0444422,-0.316815,-0.182536,-0.111009,0.00292335,-0.0108719,0.0688562,0.562867,0.17834,-0.0938315,-0.0277588,-0.106241
0.86,-0.00209808,-0.046731,-0.335126,-0.184825,-0.110454,0.00323499,-0.00896454,0.0703821,0.557145,0.181392,-0.0945952,-0.0252786,-0.0959415
0.88,-0.00209808,-0.0497828,-0.353819,-0.186732,-0.109343,0.00323854,-0.0082016,0.0711451,0.55066,0.184443,-0.0953524,-0.0234179,-0.0856409
0.9,-0.00209808,-0.052453,-0.372511,-0.18864,-0.108233,0.00262237,-0.00782013,0.071908,0.543794,0.187495,-0.0961084,-0.0215572,-0.0757227
0.92,-0.00209808,-0.0555048,-0.390821,-0.189784,-0.106938,0.00231657,-0.00629425,0.0726709,0.538453,0.190547,-0.0966794,-0.0193872,-0.065423
0.94,-0.00209808,-0.0581751,-0.409514,-0.190928,-0.105457,0.00108167,-0.00400543,0.0738153,0.531587,0.192836,-0.0976202,-0.0172161,-0.0551233
0.96,-0.00209808,-0.0608454,-0.427444,-0.192836,-0.104345,-0.000154473,-0.00171661,0.0738153,0.524338,0.195125,-0.098378,-0.0141161,-0.0448236
0.98,-0.00209808,-0.0635157,-0.445754,-0.196269,-0.103789,0.000157082,0.000190735,0.0749598,0.519379,0.198176,-0.0993171,-0.0113253,-0.0349054
1,-0.00209808,-0.0665674,-0.464065,-0.200465,-0.103233,0.000468628,0.00133514,0.0761042,0.512894,0.200847,-0.0995119,-0.00853563,-0.0246048
1.02,-0.00286102,-0.0692377,-0.477798,-0.203135,-0.102862,0.000469731,0.00133514,0.07763,0.507553,0.202373,-0.0989602,-0.00636844,-0.015831
1.04,-0.00400543,-0.0703821,-0.482376,-0.203898,-0.102862,0.000469731,0.00133514,0.07763,0.50679,0.202373,-0.0980357,-0.00420217,-0.0120163
1.06,-0.00514984,-0.0711451,-0.482758,-0.203898,-0.102862,0.000469731,0.000953674,0.07763,0.50679,0.202754,-0.0978505,-0.00389284,-0.0123978
1.08,-0.00667572,-0.0715265,-0.482758,-0.203898,-0.102862,0.000469731,0.000953674,0.07763,0.50679,0.202754,-0.0980365,-0.00358245,-0.0123978
1.1,-0.00858307,-0.0726709,-0.482758,-0.203898,-0.102862,0.000469731,0.000953674,0.0780115,0.50679,0.203135,-0.0978512,-0.00327312,-0.0123978
1.12,-0.00896454,-0.0726709,-0.482758,-0.203898,-0.102862,0.000469731,0.000953674,0.0780115,0.506409,0.20428,-0.0978512,-0.00327312,-0.0123978
1.14,-0.00934601,-0.0726709,-0.482758,-0.203898,-0.102862,0.000469731,0.000953674,0.0780115,0.506409,0.20428,-0.0978512,-0.00327312,-0.0120163
1.16,-0.00896454,-0.0726709,-0.482758,-0.203898,-0.102862,0.000469731,0.000953674,0.0780115,0.506409,0.204661,-0.0978512,-0.00327312,-0.0123978
1.18,-0.00896454,-0.0726709,-0.482758,-0.203898,-0.102862,0.000469731,0.000953674,0.0780115,0.506409,0.20428,-0.0978512,-0.00327312,-0.0123978
1.2,-0.00896454,-0.0726709,-0.482758,-0.203898,-0.102862,0.000469731,0.000953674,0.07763,0.506409,0.20428,-0.0978512,-0.00327312,-0.0123978
1.22,-0.00896454,-0.0722895,-0.482758,-0.203898,-0.102862,0.000469731,0.00133514,0.0772486,0.50679,0.20428,-0.0978512,-0.00327312,-0.0123978
1.24,-0.00858307,-0.0726709,-0.483902,-0.20428,-0.102491,0.00109059,0.00133514,0.0772486,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.26,-0.00858307,-0.0726709,-0.484665,-0.205043,-0.102491,0.00109059,0.00133514,0.07763,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.28,-0.00858307,-0.0726709,-0.484283,-0.205043,-0.102491,0.00109059,0.00133514,0.07763,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.3,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102491,0.00109059,0.00133514,0.07763,0.506409,0.20428,-0.0980371,-0.00296273,-0.0123978
1.32,-0.00858307,-0.0726709,-0.484283,-0.204661,-0.102491,0.00109059,0.00133514,0.07763,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.34,-0.00858307,-0.0726709,-0.484283,-0.204661,-0.102491,0.00109059,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.36,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102491,0.00109059,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.38,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102491,0.00109059,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.4,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102491,0.00109059,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.42,-0.00858307,-0.0726709,-0.484283,-0.204661,-0.102491,0.00109059,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.44,-0.00858307,-0.0726709,-0.484283,-0.204661,-0.102491,0.00109059,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.46,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102491,0.00109059,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.48,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.000953674,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.5,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.52,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.54,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.56,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.58,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.6,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.62,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.64,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.66,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.000953674,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.68,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.7,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.72,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.0780115,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.74,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.07763,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.76,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.07763,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
1.78,-0.00858307,-0.0726709,-0.483902,-0.204661,-0.102306,0.00078126,0.00133514,0.07763,0.50679,0.20428,-0.0980371,-0.00296273,-0.0123978
