1773725312578207,-0.0385859,0.0323846,-0.99873
1773725312597297,-0.0385464,0.0324003,-0.998731
1773725312617296,-0.038575,0.0323633,-0.998731
1773725312637295,-0.0385872,0.0323369,-0.998732
1773725312657299,-0.0386025,0.0322834,-0.998733
1773725312677286,-0.0386407,0.032285,-0.998731
1773725312697291,-0.0386349,0.0324072,-0.998728
1773725312717290,-0.0386386,0.0323715,-0.998729
1773725312737291,-0.0386625,0.0324116,-0.998727
1773725312757296,-0.0386668,0.0324132,-0.998726
1773725312777292,-0.0387252,0.0324626,-0.998722
1773725312797294,-0.0387252,0.0324908,-0.998722
1773725312817288,-0.0387813,0.0326309,-0.998715
1773725312837292,-0.0388135,0.0326445,-0.998713
1773725312857313,-0.0388096,0.0326163,-0.998714
1773725312877286,-0.0388157,0.032578,-0.998715
1773725312897288,-0.0388022,0.0326056,-0.998715
1773725312917286,-0.0387664,0.0325553,-0.998718
1773725312937289,-0.0387704,0.0325413,-0.998718
1773725312957296,-0.0388172,0.0326244,-0.998714
1773725312977292,-0.0387996,0.0326461,-0.998714
1773725312997289,-0.0388062,0.0326896,-0.998712
1773725313017297,-0.038806,0.0326174,-0.998714
1773725313037289,-0.0388941,0.0326531,-0.99871
1773725313057289,-0.0388636,0.032694,-0.99871
1773725313077289,-0.0388273,0.0326925,-0.998711
1773725313097289,-0.0387869,0.032627,-0.998715
1773725313117782,-0.0388092,0.0326526,-0.998713
1773725313137293,-0.0387954,0.0325782,-0.998716
1773725313157292,-0.038795,0.0325947,-0.998715
1773725313177289,-0.0387848,0.0325829,-0.998716
1773725313197291,-0.0387443,0.0324834,-0.998721
1773725313217291,-0.0387321,0.0324655,-0.998722
1773725313237290,-0.0387241,0.0324716,-0.998722
1773725313257295,-0.0387414,0.0324402,-0.998723
1773725313277291,-0.0387633,0.0324884,-0.99872
1773725313297293,-0.0387554,0.0325204,-0.998719
1773725313317291,-0.0387367,0.032433,-0.998723
1773725313337291,-0.0387365,0.0324695,-0.998722
1773725313357290,-0.0387041,0.0324761,-0.998723
1773725313377290,-0.038764,0.0325282,-0.998719
1773725313397384,-0.0387713,0.0324506,-0.998721
1773725313417293,-0.0387952,0.0324264,-0.998721
1773725313437292,-0.0387506,0.0324133,-0.998723
1773725313457291,-0.0387706,0.0324113,-0.998722
1773725313477288,-0.0387797,0.0324303,-0.998721
1773725313497287,-0.0387435,0.0324167,-0.998723
1773725313517288,-0.0387647,0.0323834,-0.998723
1773725313537289,-0.0387662,0.0323459,-0.998725
1773725313557291,-0.038782,0.0323541,-0.998724
1773725313577290,-0.0387736,0.0323747,-0.998723
1773725313597290,-0.0387809,0.0322992,-0.998726
1773725313617292,-0.038725,0.0322651,-0.998729
1773725313637292,-0.0387571,0.0322669,-0.998728
1773725313657290,-0.038709,0.0323094,-0.998728
1773725313677287,-0.0387052,0.0323092,-0.998728
1773725313697287,-0.0387409,0.0322834,-0.998728
1773725313717314,-0.0387547,0.0322775,-0.998727
1773725313737287,-0.0387329,0.0322834,-0.998728
1773725313757285,-0.038743,0.032245,-0.998729
1773725313777293,-0.0387428,0.0322271,-0.998729
1773725313797288,-0.0387454,0.0322466,-0.998729
1773725313817287,-0.0387316,0.0322826,-0.998728
1773725313837288,-0.038742,0.032296,-0.998727
1773725313857288,-0.0387548,0.0323513,-0.998725
1773725313877306,-0.0387269,0.0323432,-0.998726
1773725313897381,-0.0387132,0.032339,-0.998727
1773725313917298,-0.0387316,0.0324007,-0.998724
1773725313937292,-0.0387595,0.0324106,-0.998723
1773725313957292,-0.0387265,0.0324859,-0.998722
1773725313977297,-0.0387327,0.0325097,-0.998721
1773725313997295,-0.0386972,0.0325695,-0.99872
1773725314017292,-0.0386752,0.0325255,-0.998722
1773725314037300,-0.0386435,0.0325555,-0.998723
1773725314057292,-0.0386615,0.0325573,-0.998722
1773725314077287,-0.0386958,0.0325709,-0.99872
1773725314097290,-0.0387154,0.0324989,-0.998722
1773725314117288,-0.0387078,0.0324704,-0.998723
1773725314137290,-0.0386978,0.0324684,-0.998723
1773725314157289,-0.0386277,0.0324026,-0.998728
1773725314177293,-0.038652,0.0324283,-0.998726
1773725314197293,-0.0386142,0.032366,-0.99873
1773725314217291,-0.0386221,0.032366,-0.99873
1773725314237290,-0.0386502,0.0323277,-0.99873
1773725314257291,-0.0386736,0.0323403,-0.998728
